Site        X          Y        Z        Latitude      Longitude    Height    Rec. Type    Ant.Type
      ITRF96(m)   ITRF96(m)   ITRF96(m)   WGS84(deg.)   WGS84(deg.)  WGS84(m)
A4 1X F14.2 F14.2 F14.2 F14.7 F14.7 F14.2 2X A7 2X A7
paun     3466272.40    -125904.30    5334662.30    51.468  156.815         53.44  ASHTECH  ASH7009
bhao     3466272.40    -125904.30    5334662.30    36.160  128.980         53.44  ASHTECH  ASH7009
jeju     3466272.40    -125904.30    5334662.30    33.290  126.460         53.44  ASHTECH  ASH7009
mkpo     3466272.40    -125904.30    5334662.30    34.820  126.380         53.44  ASHTECH  ASH7009
mlyn     3466272.40    -125904.30    5334662.30    35.490  128.740         53.44  ASHTECH  ASH7009
skch     3466272.40    -125904.30    5334662.30    38.250  128.560         53.44  ASHTECH  ASH7009
skma     3466272.40    -125904.30    5334662.30    37.490  126.920         53.44  ASHTECH  ASH7009
kohg     3466272.40    -125904.30    5334662.30    34.450  127.520         53.44  ASHTECH  ASH7009
sbao     3466272.40    -125904.30    5334662.30    36.934  128.456         53.44  ASHTECH  ASH7009
itur     3466272.40    -125904.30    5334662.30    45.231  147.874         53.44  ASHTECH  ASH7009 
keto     3466272.40    -125904.30    5334662.30    47.300  152.485         53.44  ASHTECH  ASH7009
khar     3466272.40    -125904.30    5334662.30    49.161  154.500         53.44  ASHTECH  ASH7009
matu     3466272.40    -125904.30    5334662.30    48.047  153.240         53.44  ASHTECH  ASH7009
para     3466272.40    -125904.30    5334662.30    50.670  156.116         53.44  ASHTECH  ASH7009
shik     3466272.40    -125904.30    5334662.30    43.871  146.833         53.44  ASHTECH  ASH7009
urup     3466272.40    -125904.30    5334662.30    46.228  150.570         53.44  ASHTECH  ASH7009
abeb     3466272.40    -125904.30    5334662.30    57.1443030    -2.0802217         53.44  ASHTECH  ASH7009
abmf     2919786.45   -5383745.18    1774604.73    16.2624777   -61.5275310        -25.11  TRIMBLE  TRM5597
abpo     4097216.68    4429119.03   -2065771.37   -19.0185635    47.2292117       1552.99  ASHTECH  ASH7019
ab02    -3776808.14    -744083.82    5068728.09    52.9709268  -168.8546703        192.79  TRIMBLE  TRM2965
ab07    -3425750.08   -1214685.94    5223662.80    55.3495826  -160.4767570         89.58  TRIMBLE  TRM2965
ab08    -3068712.11    -753699.32    5521813.46    60.3851102  -166.2008570         26.52  TRIMBLE  TRM5980
ab11    -2658009.42    -693675.85    5737338.07    64.5647652  -165.3734330        348.76  TRIMBLE  TRM2965
