hmax        =    300
wind_bottom =      2
wind_top    =     10
critlon     =      0
tbeg, h     =   0.00
tend, h     =  24.00
c_ionex     =      0
c_vert      =      1
time, gamma, az, latp, lonp, tec, tec_filtered
 17.2583   23.32800 -157.33701   42.0158  139.9224   22.44600   -0.00164
 17.2667   23.55500 -157.29800   42.0620  139.9407   22.34700   -0.00302
 17.2750   23.78200 -157.25800   42.1077  139.9587   22.22000   -0.00390
 17.2833   24.01000 -157.21700   42.1530  139.9765   22.10900   -0.00269
 17.2917   24.23800 -157.17700   42.1977  139.9943   22.02000    0.00120
 17.3000   24.46600 -157.13600   42.2419  140.0117   21.90900    0.00364
 17.3083   24.69400 -157.09500   42.2855  140.0290   21.79100    0.00588
 17.3167   24.92200 -157.05299   42.3285  140.0460   21.70300    0.00387
 17.3250   25.15000 -157.01199   42.3710  140.0630   21.56700    0.00426
 17.3333   25.37900 -156.97000   42.4132  140.0797   21.46100   -0.00046
 17.3417   25.60800 -156.92799   42.4549  140.0964   21.34100   -0.00079
 17.3500   25.83800 -156.88499   42.4962  140.1128   21.22800   -0.00297
 17.3583   26.06800 -156.84300   42.5371  140.1292   21.10900    0.00099
 17.3667   26.29800 -156.80000   42.5774  140.1453   21.02300    0.00832
 17.3750   26.52800 -156.75600   42.6173  140.1612   20.92800    0.01637
 17.3833   26.75900 -156.71300   42.6568  140.1772   20.81400    0.01483
 17.3917   26.98900 -156.66901   42.6957  140.1927   20.67500    0.01010
 17.4000   27.22000 -156.62500   42.7343  140.2083   20.56500    0.00210
 17.4083   27.45100 -156.58000   42.7725  140.2236   20.43500   -0.00350
 17.4167   27.68200 -156.53500   42.8103  140.2388   20.31300   -0.01051
 17.4250   27.91300 -156.49001   42.8475  140.2538   20.19900   -0.02061
 17.4333   28.14500 -156.44501   42.8845  140.2688   20.05500   -0.03028
 17.4417   28.37600 -156.39900   42.9210  140.2834   19.93900   -0.03573
 17.4500   28.60800 -156.35300   42.9572  140.2981   19.84700   -0.02899
 17.4583   28.84000 -156.30701   42.9929  140.3126   19.76900   -0.01833
 17.4667   29.07200 -156.25999   43.0283  140.3269   19.67000   -0.00552
 17.4750   29.30400 -156.21400   43.0632  140.3412   19.58900   -0.00017
 17.4833   29.53700 -156.16701   43.0979  140.3553   19.47000    0.00960
 17.4917   29.76900 -156.11900   43.1321  140.3691   19.39700    0.01518
 17.5000   30.00200 -156.07201   43.1661  140.3830   19.29500    0.02245
 17.5083   30.23600 -156.02400   43.1998  140.3968   19.18500    0.02782
 17.5167   30.46900 -155.97600   43.2330  140.4104   19.10200    0.02230
 17.5250   30.70300 -155.92799   43.2660  140.4240   18.94200    0.02149
 17.5333   30.93700 -155.87900   43.2986  140.4373   18.85700    0.01324
 17.5417   31.17200 -155.83000   43.3310  140.4507   18.73000    0.01035
 17.5500   31.40600 -155.78101   43.3629  140.4638   18.59300    0.00672
 17.5583   31.64100 -155.73100   43.3947  140.4769   18.49600    0.00989
 17.5667   31.87500 -155.68100   43.4259  140.4897   18.39800    0.01607
 17.5750   32.11000 -155.63100   43.4570  140.5026   18.26900    0.01588
 17.5833   32.34500 -155.58099   43.4877  140.5154   18.13500    0.01529
 17.5917   32.58100 -155.53000   43.5183  140.5280   18.02800    0.01518
 17.6000   32.81600 -155.47900   43.5484  140.5405   17.89100    0.02231
 17.6083   33.05200 -155.42799   43.5783  140.5530   17.78300    0.02499
 17.6167   33.28700 -155.37700   43.6078  140.5653   17.64300    0.03175
 17.6250   33.52300 -155.32600   43.6371  140.5776   17.52100    0.03065
 17.6333   33.75900 -155.27400   43.6661  140.5897   17.36800    0.02938
 17.6417   33.99500 -155.22200   43.6948  140.6018   17.22500    0.03015
 17.6500   34.23100 -155.17000   43.7232  140.6137   17.10900    0.03934
 17.6583   34.46800 -155.11700   43.7515  140.6256   16.99500    0.03957
 17.6667   34.70400 -155.06500   43.7793  140.6374   16.80700    0.02407
 17.6750   34.94100 -155.01100   43.8071  140.6491   16.61600   -0.00420
 17.6833   35.17900 -154.95799   43.8346  140.6608   16.44400   -0.02831
 17.6917   35.41700 -154.90401   43.8619  140.6724   16.28100   -0.04248
 17.7000   35.65400 -154.85001   43.8888  140.6838   16.14600   -0.05586
 17.7083   35.89200 -154.79601   43.9156  140.6952   15.98600   -0.06027
 17.7167   36.13100 -154.74100   43.9422  140.7065   15.87700   -0.06806
 17.7250   36.36900 -154.68600   43.9685  140.7178   15.73700   -0.06832
 17.7333   36.60700 -154.63100   43.9945  140.7289   15.62200   -0.07376
 17.7417   36.84600 -154.57600   44.0203  140.7400   15.49600   -0.07317
 17.7500   37.08400 -154.52000   44.0459  140.7510   15.39100   -0.07039
 17.7583   37.32300 -154.46500   44.0712  140.7620   15.29800   -0.06081
 17.7667   37.56200 -154.40900   44.0964  140.7729   15.21600   -0.04570
 17.7750   37.80100 -154.35300   44.1213  140.7837   15.14700   -0.02735
 17.7833   38.04000 -154.29601   44.1460  140.7944   15.07400   -0.00609
 17.7917   38.28000 -154.24001   44.1706  140.8051   15.00900    0.01341
 17.8000   38.51900 -154.18300   44.1948  140.8157   14.93400    0.02773
 17.8083   38.75900 -154.12601   44.2190  140.8263   14.83900    0.04226
 17.8167   38.99800 -154.06900   44.2428  140.8367   14.77300    0.04536
 17.8250   39.23800 -154.01199   44.2665  140.8472   14.64400    0.05420
 17.8333   39.47800 -153.95500   44.2899  140.8576   14.57200    0.05439
 17.8417   39.71900 -153.89600   44.3133  140.8679   14.46500    0.05307
 17.8500   39.96000 -153.83800   44.3365  140.8782   14.32700    0.04364
 17.8583   40.20100 -153.77901   44.3595  140.8884   14.21200    0.03345
 17.8667   40.44200 -153.72000   44.3823  140.8986   14.09200    0.03158
 17.8750   40.68300 -153.66000   44.4049  140.9086   13.97600    0.02912
 17.8833   40.92400 -153.60100   44.4273  140.9186   13.84400    0.02355
 17.8917   41.16600 -153.54100   44.4496  140.9286   13.70100    0.01158
 17.9000   41.40800 -153.48100   44.4717  140.9386   13.55100    0.00820
 17.9083   41.64900 -153.42101   44.4935  140.9485   13.45100    0.01503
 17.9167   41.89100 -153.36099   44.5153  140.9583   13.33400    0.03796
 17.9250   42.13300 -153.30000   44.5368  140.9681   13.22700    0.05419
 17.9333   42.37500 -153.24001   44.5582  140.9779   13.06700    0.07205
 17.9417   42.61700 -153.17900   44.5794  140.9876   12.92000    0.08265
 17.9500   42.86000 -153.11800   44.6005  140.9973   12.74000    0.10445
 17.9583   43.10200 -153.05701   44.6214  141.0069   12.57900    0.15452
 17.9667   43.34500 -152.99600   44.6421  141.0165   12.50200    0.22870
 17.9750   43.58700 -152.93401   44.6627  141.0260   12.37900    0.30636
 17.9833   43.83000 -152.87300   44.6831  141.0356   12.18800    0.34184
 17.9917   44.07300 -152.81100   44.7034  141.0450   11.89600    0.34299
 18.0000   44.31600 -152.75000   44.7235  141.0545   11.58700    0.32983
 18.0083   44.55900 -152.68600   44.7435  141.0638   11.28700    0.29283
 18.0167   44.80300 -152.62300   44.7634  141.0732   10.84400    0.23818
 18.0250   45.04700 -152.55901   44.7831  141.0825   10.42000    0.16702
 18.0333   45.29100 -152.49500   44.8027  141.0917   10.02900    0.09696
 18.0417   45.53500 -152.43100   44.8222  141.1009    9.57000    0.05666
 18.0500   45.77900 -152.36700   44.8415  141.1101    9.23200    0.01879
 18.0583   46.02400 -152.30299   44.8607  141.1193    8.80200    0.01921
 18.0667   46.26800 -152.23801   44.8797  141.1284    8.45400    0.00705
 18.0750   46.51300 -152.17400   44.8986  141.1376    8.04000   -0.02502
 18.0833   46.75700 -152.10899   44.9174  141.1466    7.52400   -0.08900
 18.0917   47.00200 -152.04401   44.9360  141.1557    7.04700   -0.11462
 18.1000   47.24700 -151.97900   44.9545  141.1647    6.78800   -0.07110
 18.1083   47.49200 -151.91400   44.9729  141.1738    6.55200   -0.01816
 18.1167   47.73700 -151.84900   44.9912  141.1827    6.13000   -0.02010
 18.1250   47.98200 -151.78400   45.0093  141.1917    5.68400   -0.08312
 18.1333   48.22700 -151.71899   45.0273  141.2007    5.24200   -0.13137
 18.1417   48.47200 -151.65300   45.0451  141.2095    4.91200   -0.15319
 18.1500   48.71700 -151.58800   45.0628  141.2184    4.58900   -0.13649
 18.1583   48.96200 -151.52200   45.0804  141.2273    4.31500   -0.13783
 18.1667   49.20800 -151.45700   45.0980  141.2362    3.94900   -0.16768
 18.1750   49.45400 -151.38901   45.1154  141.2449    3.56800   -0.21201
 18.1833   49.70000 -151.32100   45.1328  141.2537    3.27900   -0.22566
 18.1917   49.94600 -151.25301   45.1500  141.2624    3.05500   -0.19892
 18.2000   50.19300 -151.18500   45.1671  141.2711    2.84900   -0.14589
 18.2083   50.43900 -151.11700   45.1841  141.2798    2.70300   -0.11167
 18.2167   50.68600 -151.04800   45.2010  141.2885    2.45500   -0.12927
 18.2250   50.93200 -150.98000   45.2178  141.2972    2.10000   -0.18017
 18.2333   51.17900 -150.91100   45.2345  141.3058    1.86600   -0.18647
 18.2417   51.42600 -150.84300   45.2510  141.3145    1.82100   -0.14930
 18.2500   51.67300 -150.77400   45.2675  141.3231    1.67000   -0.14294
 18.2583   51.91900 -150.70500   45.2838  141.3317    1.36900   -0.15545
 18.2667   52.16600 -150.63699   45.3000  141.3403    1.30300   -0.17746
 18.2750   52.41300 -150.56799   45.3162  141.3489    1.15400   -0.14030
 18.2833   52.66000 -150.49899   45.3322  141.3575    1.10100   -0.14262
 18.2917   52.90800 -150.42999   45.3482  141.3661    0.91100   -0.13356
 18.3000   53.15500 -150.36099   45.3640  141.3747    0.83100   -0.15405
 18.3083   53.40200 -150.29201   45.3797  141.3832    0.70300   -0.14930
 18.3167   53.64900 -150.22400   45.3954  141.3918    0.64600   -0.12737
 18.3250   53.89600 -150.15500   45.4109  141.4003    0.65700   -0.08986
 18.3333   54.14400 -150.08600   45.4264  141.4089    0.60500   -0.05933
 18.3417   54.39200 -150.01401   45.4418  141.4173    0.54500   -0.06115
 18.3500   54.64000 -149.94200   45.4571  141.4258    0.46400   -0.06246
 18.3583   54.88800 -149.87100   45.4723  141.4342    0.44000   -0.06471
 18.3667   55.13600 -149.79900   45.4875  141.4426    0.38900   -0.05199
 18.3750   55.38400 -149.72701   45.5025  141.4511    0.38100   -0.05285
 18.3833   55.63300 -149.65500   45.5175  141.4595    0.32400   -0.04532
 18.3917   55.88100 -149.58299   45.5324  141.4679    0.32200   -0.04764
 18.4000   56.13000 -149.51100   45.5472  141.4764    0.29000   -0.04056
 18.4083   56.37800 -149.43900   45.5619  141.4848    0.27200   -0.03623
 18.4167   56.62600 -149.36700   45.5765  141.4932    0.26300   -0.02674
 18.4250   56.87500 -149.29500   45.5910  141.5016    0.25400   -0.01558
 18.4333   57.12300 -149.22301   45.6054  141.5100    0.25200   -0.01061
 18.4417   57.37200 -149.15100   45.6198  141.5185    0.23000   -0.00513
 18.4500   57.62100 -149.07899   45.6341  141.5269    0.23000   -0.00080
 18.4583   57.86900 -149.00700   45.6483  141.5353    0.22800   -0.00127
 18.4667   58.11800 -148.93500   45.6624  141.5437    0.19500   -0.00798
 18.4750   58.36600 -148.86400   45.6764  141.5521    0.17700   -0.02017
 18.4833   58.61500 -148.79201   45.6904  141.5606    0.16100   -0.02680
 18.4917   58.86400 -148.72099   45.7042  141.5690    0.15100   -0.02391
 18.5000   59.11200 -148.64999   45.7180  141.5775    0.16900   -0.01827
 18.5083   59.36200 -148.57500   45.7318  141.5859    0.16400   -0.01221
 18.5167   59.61100 -148.50000   45.7455  141.5942    0.15500   -0.01269
 18.5250   59.86000 -148.42500   45.7591  141.6025    0.15200   -0.01018
 18.5333   60.11000 -148.35001   45.7727  141.6109    0.15900   -0.00839
 18.5417   60.35900 -148.27499   45.7862  141.6193    0.14900   -0.00387
 18.5500   60.60900 -148.20000   45.7996  141.6277    0.15500    0.00039
 18.5583   60.85800 -148.12500   45.8129  141.6360    0.16000    0.00927
 18.5667   61.10800 -148.05099   45.8262  141.6445    0.16600    0.01211
 18.5750   61.35700 -147.97600   45.8394  141.6528    0.15300    0.01398
 18.5833   61.60700 -147.90199   45.8525  141.6613    0.15500    0.00924
 18.5917   61.85600 -147.82700   45.8655  141.6697    0.13900    0.01126
 18.6000   62.10600 -147.75301   45.8785  141.6781    0.14800    0.01769
 18.6083   62.35500 -147.67900   45.8914  141.6865    0.16500    0.02312
 18.6167   62.60500 -147.60600   45.9043  141.6950    0.14400    0.01503
 18.6250   62.85400 -147.53200   45.9170  141.7035    0.10700   -0.00175
 18.6333   63.10400 -147.45900   45.9297  141.7120    0.09300   -0.01449
 18.6417   63.35300 -147.38600   45.9423  141.7204    0.08400   -0.01219
 18.6500   63.60200 -147.31300   45.9549  141.7289    0.09300   -0.00599
 18.6583   63.85200 -147.24100   45.9674  141.7375    0.09100    0.00331
 18.6667   64.10100 -147.16901   45.9798  141.7460    0.09200    0.00596
 18.6750   64.35100 -147.09100   45.9922  141.7544    0.08200    0.00802
 18.6833   64.60100 -147.01401   46.0046  141.7628    0.07900    0.00250
 18.6917   64.85100 -146.93700   46.0169  141.7713    0.05700    0.00050
 18.7000   65.10100 -146.86099   46.0292  141.7798    0.06100   -0.00777
 18.7083   65.35100 -146.78400   46.0414  141.7883    0.04200   -0.01569
 18.7167   65.60100 -146.70799   46.0535  141.7968    0.02600   -0.03421
 18.7250   65.85100 -146.63200   46.0656  141.8053    0.00000   -0.04068
 18.7333   66.10100 -146.55600   46.0776  141.8138    0.02300   -0.04438
 18.7417   66.35100 -146.48000   46.0895  141.8224    0.01800   -0.03585
 18.7500   66.60100 -146.40500   46.1014  141.8309    0.03100   -0.03243
 18.7583   66.85000 -146.33000   46.1132  141.8395    0.03700   -0.01876
 18.7667   67.10000 -146.25600   46.1250  141.8481    0.06500   -0.00476
 18.7750   67.35000 -146.18201   46.1367  141.8568    0.08100    0.00702
 18.7833   67.60000 -146.10800   46.1483  141.8654    0.08200    0.00887
 18.7917   67.84900 -146.03500   46.1599  141.8740    0.08300    0.01182
 18.8000   68.09900 -145.96201   46.1714  141.8827    0.10700    0.01567
 18.8083   68.34900 -145.89000   46.1829  141.8914    0.11600    0.01951
 18.8167   68.59800 -145.81799   46.1942  141.9001    0.11700    0.01051
 18.8250   68.84800 -145.74699   46.2056  141.9089    0.10100   -0.00158
 18.8333   69.09700 -145.67700   46.2169  141.9177    0.09900   -0.01357
 18.8417   69.34700 -145.60001   46.2282  141.9263    0.10200   -0.01929
 18.8500   69.59700 -145.52299   46.2394  141.9350    0.10500   -0.01886
 18.8583   69.84700 -145.44600   46.2507  141.9437    0.12300   -0.00737
 18.8667   70.09700 -145.37000   46.2618  141.9524    0.16100    0.00269
