hmax        =    300
wind_bottom =      2
wind_top    =     10
critlon     =      0
tbeg, h     =   0.00
tend, h     =  24.00
c_ionex     =      0
c_vert      =      1
time, gamma, az, latp, lonp, tec, tec_filtered
  5.2250   20.12800  -56.58900   50.1457  134.7030   20.28000   -0.02131
  5.2333   20.31700  -56.54600   50.1274  134.7733   20.10400   -0.01561
  5.2417   20.50600  -56.50500   50.1092  134.8426   19.99100   -0.01247
  5.2500   20.69500  -56.46400   50.0910  134.9110   19.82700   -0.00091
  5.2583   20.88400  -56.42400   50.0730  134.9785   19.71000    0.00855
  5.2667   21.07400  -56.38500   50.0549  135.0455   19.58400    0.01328
  5.2750   21.26300  -56.34700   50.0369  135.1112   19.38900    0.01784
  5.2833   21.45300  -56.30900   50.0190  135.1764   19.26800    0.02293
  5.2917   21.64300  -56.27200   50.0012  135.2408   19.14600    0.03188
  5.3000   21.83200  -56.23600   49.9835  135.3040   18.97300    0.03293
  5.3083   22.02200  -56.20100   49.9658  135.3667   18.80000    0.02216
  5.3167   22.21300  -56.16700   49.9481  135.4289   18.60000    0.01584
  5.3250   22.40300  -56.13300   49.9306  135.4900   18.45700    0.00969
  5.3333   22.59300  -56.10100   49.9130  135.5503   18.28900    0.00410
  5.3417   22.78400  -56.06600   49.8958  135.6104   18.09300   -0.00979
  5.3500   22.97600  -56.03200   49.8785  135.6699   17.90000   -0.02562
  5.3583   23.16700  -55.99800   49.8615  135.7285   17.72200   -0.03064
  5.3667   23.35800  -55.96600   49.8445  135.7863   17.59800   -0.03631
  5.3750   23.55000  -55.93400   49.8275  135.8437   17.40400   -0.03775
  5.3833   23.74200  -55.90300   49.8106  135.9003   17.25400   -0.04137
  5.3917   23.93400  -55.87400   49.7936  135.9561   17.12100   -0.03774
  5.4000   24.12600  -55.84400   49.7769  136.0114   16.98000   -0.02910
  5.4083   24.31800  -55.81600   49.7602  136.0659   16.86900   -0.02268
  5.4167   24.51000  -55.78900   49.7435  136.1197   16.72700   -0.01196
  5.4250   24.70300  -55.76300   49.7268  136.1731   16.61400   -0.00960
  5.4333   24.89500  -55.73700   49.7103  136.2257   16.45800   -0.00336
  5.4417   25.08800  -55.71300   49.6937  136.2777   16.34700    0.00124
  5.4500   25.28100  -55.68900   49.6773  136.3292   16.22900    0.00443
  5.4583   25.47400  -55.66600   49.6609  136.3801   16.06800    0.00819
  5.4667   25.66700  -55.64400   49.6446  136.4303   15.96200    0.01064
  5.4750   25.86000  -55.62400   49.6283  136.4798   15.84000    0.01908
  5.4833   26.05300  -55.60400   49.6121  136.5288   15.71500    0.01666
  5.4917   26.24700  -55.58500   49.5959  136.5775   15.54600    0.00598
  5.5000   26.44000  -55.56700   49.5799  136.6253   15.37600   -0.00088
  5.5083   26.63400  -55.54700   49.5640  136.6729   15.27500   -0.00487
  5.5167   26.82900  -55.52700   49.5482  136.7203   15.12600   -0.00558
  5.5250   27.02300  -55.50900   49.5325  136.7668   14.98000   -0.01211
  5.5333   27.21800  -55.49100   49.5168  136.8130   14.84800   -0.02089
  5.5417   27.41200  -55.47500   49.5012  136.8584   14.69200   -0.02489
  5.5500   27.60700  -55.45900   49.4856  136.9035   14.57800   -0.03066
  5.5583   27.80200  -55.44400   49.4701  136.9481   14.44300   -0.03063
  5.5667   27.99700  -55.43100   49.4546  136.9921   14.32300   -0.03661
  5.5750   28.19200  -55.41800   49.4392  137.0357   14.18200   -0.03377
  5.5833   28.38700  -55.40700   49.4239  137.0786   14.10300   -0.03474
  5.5917   28.58200  -55.39700   49.4085  137.1211   13.97000   -0.02418
